# v1 v2 g dc1 dc2 ettr mttr
13 6643 13 0.307692 0.012344 254.179263 1417
13 6973 1 0.307692 0.012046 248.483072 1532
13 8011 1 0.307692 0.011235 282.758764 1647
13 9507 1 0.307692 0.010308 302.230632 1794
13 10303 1 0.307692 0.009900 311.601251 2076
13 10713 1 0.307692 0.009708 329.365702 2241
13 11557 13 0.307692 0.009345 327.695130 1996
13 11991 1 0.307692 0.009174 344.257475 2236
13 12883 13 0.307692 0.008849 361.980750 2235
13 16257 1 0.307692 0.007874 399.382145 2639
13 17293 1 0.307692 0.007633 417.232415 3077
13 18907 1 0.307692 0.007299 451.680420 2928
13 19461 13 0.307692 0.007194 432.595878 2729
13 22351 1 0.307692 0.006711 458.713917 3124
13 22953 1 0.307692 0.006622 484.940765 3796
13 24807 1 0.307692 0.006369 495.461182 3575
13 26733 1 0.307692 0.006135 524.146791 3058
13 28057 1 0.307692 0.005988 517.575573 3377
13 30103 1 0.307692 0.005780 554.411924 5142
13 32221 1 0.307692 0.005586 573.749697 3552
13 32943 1 0.307692 0.005525 574.529423 4272
13 36673 13 0.307692 0.005235 620.594657 4654
13 37443 1 0.307692 0.005181 621.288917 5118
13 39007 1 0.307692 0.005076 625.159997 3421
13 39801 1 0.307692 0.005025 639.206071 4162
13 44733 13 0.307692 0.004739 715.066053 5032
13 49953 1 0.307692 0.004484 699.781826 4216
13 51757 1 0.307692 0.004405 772.553397 5070
13 52671 1 0.307692 0.004367 737.913975 4484
13 54523 1 0.307692 0.004292 745.218539 4806
13 57361 1 0.307692 0.004184 794.742381 6435
13 58323 1 0.307692 0.004149 776.796149 7397
13 63253 1 0.307692 0.003984 787.012286 5005
13 66307 1 0.307692 0.003891 866.882018 7511
13 69433 13 0.307692 0.003802 805.764076 5547
13 72631 13 0.307692 0.003717 894.604191 9646
13 73713 1 0.307692 0.003690 869.383514 6578
13 77007 1 0.307692 0.003610 887.788415 5942
13 79243 1 0.307692 0.003559 888.972280 5576
13 80373 1 0.307692 0.003534 926.994388 6500
13 86143 1 0.307692 0.003413 931.890865 7709
13 94557 1 0.307692 0.003257 1006.561706 9364
13 97033 1 0.307692 0.003215 994.039373 8147
13 98283 1 0.307692 0.003195 1007.276430 6474
13 100807 1 0.307692 0.003155 1001.934679 6647
13 109893 1 0.307692 0.003021 1147.564295 10218
13 113907 1 0.307692 0.002967 1097.289357 8744
13 120757 13 0.307692 0.002882 1142.272576 10108
13 122151 1 0.307692 0.002865 1127.254217 9734
13 124963 1 0.307692 0.002833 1146.880069 9556
13 129241 1 0.307692 0.002785 1152.415734 7452
13 135057 13 0.307692 0.002725 1177.736614 9696
13 139503 13 0.307692 0.002681 1191.825848 7386
13 144021 1 0.307692 0.002639 1227.340347 8570
13 147073 1 0.307692 0.002611 1220.917785 8146
13 151711 1 0.307692 0.002571 1280.696097 11596
13 158007 1 0.307692 0.002519 1278.628166 11661
13 161203 1 0.307692 0.002494 1286.985858 9163
13 167691 1 0.307692 0.002445 1302.688501 9756
13 175981 13 0.307692 0.002387 1323.486128 8473
13 177663 1 0.307692 0.002375 1393.144139 13141
13 186193 1 0.307692 0.002320 1402.072074 11236
13 187923 1 0.307692 0.002309 1397.369622 11974
13 193161 1 0.307692 0.002278 1422.910711 11758
13 196693 1 0.307692 0.002257 1468.076322 11128
13 202051 1 0.307692 0.002227 1445.790488 11123
13 209307 1 0.307692 0.002188 1434.834851 10137
13 212983 1 0.307692 0.002169 1504.900713 13715
13 214833 1 0.307692 0.002160 1484.666212 11947
13 218557 1 0.307692 0.002141 1533.610030 13707
13 229921 1 0.307692 0.002088 1559.742701 14079
13 237657 1 0.307692 0.002053 1547.224305 15672
13 241573 1 0.307692 0.002037 1622.793773 14836
13 249501 1 0.307692 0.002004 1608.867409 12751
13 253513 13 0.307692 0.001988 1579.732103 12402
13 259591 1 0.307692 0.001965 1720.762711 15353
13 271963 1 0.307692 0.001919 1697.944147 14560
13 274053 13 0.307692 0.001912 1752.467300 16229
13 293223 1 0.307692 0.001848 1734.823922 16593
13 299757 1 0.307692 0.001828 1770.863155 12663
13 310807 1 0.307692 0.001795 1839.614070 15159
13 317533 1 0.307692 0.001776 1785.086444 12064
13 324331 1 0.307692 0.001757 1833.724648 13095
13 326613 1 0.307692 0.001751 1866.594663 14902
13 333507 1 0.307692 0.001733 1864.758250 14183
13 345157 1 0.307692 0.001704 1919.718894 16919
13 352243 1 0.307692 0.001686 1919.864190 18958
13 359401 1 0.307692 0.001669 1940.010915 19165
13 361803 13 0.307692 0.001664 1943.766961 18080
13 369057 13 0.307692 0.001647 1953.057599 16601
13 376383 1 0.307692 0.001631 2001.532143 19379
13 381307 1 0.307692 0.001621 2030.498313 16673
13 383781 1 0.307692 0.001616 2013.325486 25829
13 398793 1 0.307692 0.001585 2052.178714 15233
13 411523 1 0.307692 0.001560 1999.776081 17036
13 414093 1 0.307692 0.001555 2008.426410 15208
13 419257 1 0.307692 0.001546 2127.597920 17100
13 427063 13 0.307692 0.001531 2109.023973 23277
13 434941 13 0.307692 0.001517 2183.395106 20328
13 437583 1 0.307692 0.001513 2143.313732 19578
13 453603 1 0.307692 0.001486 2202.101681 20207
13 459007 1 0.307692 0.001477 2172.836499 14799
13 467173 1 0.307692 0.001464 2171.157566 17655
13 478173 1 0.307692 0.001447 2259.534328 18099
13 492103 1 0.307692 0.001427 2280.174812 28400
